Iteration 0, Epoch 1, Loss: 6.76, Accuracy: 9.38, Val Loss: 9.16, Val Accuracy: 11.90
Iteration 200, Epoch 1, Loss: 2.29, Accuracy: 24.49, Val Loss: 3.23, Val Accuracy: 22.40
Iteration 400, Epoch 2, Loss: 1.61, Accuracy: 39.02, Val Loss: 2.72, Val Accuracy: 28.40
Iteration 600, Epoch 2, Loss: 1.56, Accuracy: 41.81, Val Loss: 2.05, Val Accuracy: 35.10
Iteration 800, Epoch 3, Loss: 1.42, Accuracy: 47.95, Val Loss: 1.72, Val Accuracy: 45.70
Iteration 1000, Epoch 3, Loss: 1.39, Accuracy: 49.25, Val Loss: 1.59, Val Accuracy: 49.20
Iteration 1200, Epoch 4, Loss: 1.25, Accuracy: 54.78, Val Loss: 1.27, Val Accuracy: 57.00
Iteration 1400, Epoch 4, Loss: 1.22, Accuracy: 56.33, Val Loss: 1.21, Val Accuracy: 59.40
Iteration 1600, Epoch 5, Loss: 1.13, Accuracy: 59.54, Val Loss: 1.05, Val Accuracy: 65.50
Iteration 1800, Epoch 5, Loss: 1.10, Accuracy: 61.04, Val Loss: 1.03, Val Accuracy: 64.40
Iteration 2000, Epoch 6, Loss: 1.03, Accuracy: 63.55, Val Loss: 1.01, Val Accuracy: 66.50
Iteration 2200, Epoch 6, Loss: 1.00, Accuracy: 65.02, Val Loss: 0.94, Val Accuracy: 69.00
Iteration 2400, Epoch 7, Loss: 0.93, Accuracy: 67.17, Val Loss: 0.92, Val Accuracy: 69.90
Iteration 2600, Epoch 7, Loss: 0.91, Accuracy: 68.00, Val Loss: 0.87, Val Accuracy: 71.40
Iteration 2800, Epoch 8, Loss: 0.87, Accuracy: 69.78, Val Loss: 0.75, Val Accuracy: 76.10
Iteration 3000, Epoch 8, Loss: 0.85, Accuracy: 70.40, Val Loss: 0.75, Val Accuracy: 74.60
Iteration 3200, Epoch 9, Loss: 0.81, Accuracy: 71.66, Val Loss: 0.70, Val Accuracy: 76.00
Iteration 3400, Epoch 9, Loss: 0.80, Accuracy: 72.29, Val Loss: 0.73, Val Accuracy: 76.00
Iteration 3600, Epoch 10, Loss: 0.75, Accuracy: 73.76, Val Loss: 0.69, Val Accuracy: 78.60
Iteration 3800, Epoch 10, Loss: 0.75, Accuracy: 73.99, Val Loss: 0.70, Val Accuracy: 77.70
Iteration 4000, Epoch 11, Loss: 0.72, Accuracy: 75.02, Val Loss: 0.65, Val Accuracy: 79.60
Iteration 4200, Epoch 11, Loss: 0.71, Accuracy: 75.28, Val Loss: 0.61, Val Accuracy: 79.70
Iteration 4400, Epoch 12, Loss: 0.69, Accuracy: 76.21, Val Loss: 0.62, Val Accuracy: 79.60
Iteration 4600, Epoch 13, Loss: 0.58, Accuracy: 80.62, Val Loss: 0.66, Val Accuracy: 78.40
Iteration 4800, Epoch 13, Loss: 0.66, Accuracy: 77.18, Val Loss: 0.64, Val Accuracy: 78.60
Iteration 5000, Epoch 14, Loss: 0.61, Accuracy: 79.08, Val Loss: 0.61, Val Accuracy: 80.30
Iteration 5200, Epoch 14, Loss: 0.63, Accuracy: 78.27, Val Loss: 0.57, Val Accuracy: 80.70
Iteration 5400, Epoch 15, Loss: 0.58, Accuracy: 80.55, Val Loss: 0.61, Val Accuracy: 80.20
Iteration 5600, Epoch 15, Loss: 0.61, Accuracy: 79.32, Val Loss: 0.60, Val Accuracy: 81.50
Iteration 5800, Epoch 16, Loss: 0.58, Accuracy: 80.22, Val Loss: 0.54, Val Accuracy: 83.70
Iteration 6000, Epoch 16, Loss: 0.58, Accuracy: 80.04, Val Loss: 0.59, Val Accuracy: 81.60
Iteration 6200, Epoch 17, Loss: 0.55, Accuracy: 80.54, Val Loss: 0.53, Val Accuracy: 83.70
Iteration 6400, Epoch 17, Loss: 0.56, Accuracy: 80.70, Val Loss: 0.56, Val Accuracy: 81.40
Iteration 6600, Epoch 18, Loss: 0.55, Accuracy: 81.29, Val Loss: 0.56, Val Accuracy: 81.30
Iteration 6800, Epoch 18, Loss: 0.55, Accuracy: 81.05, Val Loss: 0.57, Val Accuracy: 81.50
Iteration 7000, Epoch 19, Loss: 0.52, Accuracy: 82.10, Val Loss: 0.61, Val Accuracy: 81.90
Iteration 7200, Epoch 19, Loss: 0.53, Accuracy: 81.86, Val Loss: 0.57, Val Accuracy: 82.90
Iteration 7400, Epoch 20, Loss: 0.50, Accuracy: 82.46, Val Loss: 0.56, Val Accuracy: 82.80
Iteration 7600, Epoch 20, Loss: 0.51, Accuracy: 82.38, Val Loss: 0.63, Val Accuracy: 79.70
Iteration 7800, Epoch 21, Loss: 0.50, Accuracy: 82.98, Val Loss: 0.51, Val Accuracy: 83.30
Iteration 8000, Epoch 21, Loss: 0.50, Accuracy: 82.95, Val Loss: 0.55, Val Accuracy: 83.00
Iteration 8200, Epoch 22, Loss: 0.48, Accuracy: 83.71, Val Loss: 0.50, Val Accuracy: 85.10
Iteration 8400, Epoch 22, Loss: 0.48, Accuracy: 83.60, Val Loss: 0.57, Val Accuracy: 82.80
Iteration 8600, Epoch 23, Loss: 0.47, Accuracy: 83.62, Val Loss: 0.51, Val Accuracy: 84.60
Iteration 8800, Epoch 23, Loss: 0.47, Accuracy: 83.60, Val Loss: 0.52, Val Accuracy: 84.70
Iteration 9000, Epoch 24, Loss: 0.46, Accuracy: 84.28, Val Loss: 0.55, Val Accuracy: 84.40
Iteration 9200, Epoch 25, Loss: 0.44, Accuracy: 86.20, Val Loss: 0.53, Val Accuracy: 84.40
Iteration 9400, Epoch 25, Loss: 0.45, Accuracy: 84.83, Val Loss: 0.53, Val Accuracy: 85.30
Iteration 9600, Epoch 26, Loss: 0.42, Accuracy: 85.46, Val Loss: 0.51, Val Accuracy: 84.60
